sample,ASP,SER,GLU,GLY,HIS,P2 ,ARG,THR,ALA,PRO,TYR,VAL,MET,P1 ,LYS,ILE,LEU,NLEU,PHE
sample_01,0.084874184,0.025414442,0.201515674,0.068797774,0.022575359,0.040996195,0.089242602,0.032796666,0.05116884,0.047584985,0.022931982,0.053530384,0.021156353,0,0.066441576,0.039658703,0.063509656,0.030556422,0.037248204
sample_02,0.091269202,0.026385956,0.177595071,0.077764873,0.023434508,0.02431238,0.096009146,0.03420676,0.055933285,0.039967689,0.0223446,0.05844996,0.022714682,0,0.069449964,0.041703615,0.069510665,0.028249922,0.040697723
sample_03,0.088249418,0.025493904,0.176712603,0.073522709,0.022523797,0.03604041,0.092114388,0.034197979,0.057289923,0.040634073,0.026454593,0.05648456,0.020081666,0,0.062601136,0.039424703,0.065811798,0.045160105,0.037202235
sample_04,0.084028413,0.022434685,0.166174108,0.073746063,0.02425366,0.037921227,0.083352953,0.030986706,0.051108133,0.091731931,0.022098698,0.053597637,0.01949318,0,0.063749706,0.038767787,0.062327826,0.038291144,0.035936142
sample_05,0.083405743,0.024231521,0.213035885,0.066547667,0.020646779,0.026600399,0.107298114,0.033099958,0.054891969,0.036870744,0.021239927,0.054130953,0.02066222,0,0.063418834,0.038022225,0.063338354,0.035641789,0.03691692
sample_06,0.083262338,0.023190868,0.133207203,0.07500073,0.024513851,0,0.078355177,0.040859196,0.142402554,0.040678482,0.013286112,0.073121177,0.016997936,0,0.073988638,0.03953923,0.071133591,0.033481499,0.035324327
sample_07,0.094023944,0.025264832,0.144628191,0.078151174,0.03825592,0,0.054497779,0.043069878,0.076726119,0.046022938,0.049591863,0.057324795,0.022811139,0,0.074092282,0.048725031,0.060952745,0.028547205,0.055968075
sample_08,0.093507742,0.029329835,0.123137479,0.073716449,0.035135497,0,0.070479186,0.039014181,0.064088254,0.051923294,0.017359025,0.065498999,0.021171708,0,0.087529392,0.051320209,0.079695901,0.050961574,0.044684655
sample_09,0.084696948,0.024830918,0.181638236,0.073091579,0.023501477,0.043241835,0.09214904,0.033784259,0.057826585,0.041545445,0.01639001,0.057128378,0.018618132,0,0.060410965,0.03995004,0.065419389,0.044140628,0.039586371
sample_10,0.076409824,0.025015202,0.19853853,0.081000559,0.023289461,0.034536723,0.107135007,0.037020536,0.052614061,0.03949267,0.016215138,0.055255611,0.01888859,0,0.056984515,0.038692084,0.063339379,0.032210366,0.042053
sample_11,0.090337852,0.018732844,0.150002176,0.101814524,0.024294203,0,0.077663828,0.040911239,0.080663023,0.050284481,0.0123913,0.076489087,0.023797698,0.018939496,0.036124696,0.048710194,0.081929586,0.024614219,0.042299555
sample_12,0.080411608,0.022902215,0.191832838,0.07110071,0.022156426,0.076267632,0.075886024,0.035753939,0.049313359,0.042747332,0.017653573,0.052900728,0.02198338,0,0.056453072,0.038977084,0.061934476,0.042097714,0.038503067
sample_13,0.085686185,0.024799896,0.149725521,0.106852945,0.027734442,0.03514179,0.077303964,0.038804617,0.054637345,0.043720281,0.019116425,0.060661664,0.020239433,0,0.058061488,0.044702742,0.071285161,0.032261382,0.047818926
sample_14,0.100511939,0.023354992,0.093775929,0.102396403,0.024184836,0,0.079498571,0.047119895,0.088138907,0.048216667,0.013925633,0.080684679,0.018798104,0.018742591,0.045695866,0.051044123,0.084854382,0.037804267,0.041252215
